# repository=https://github.com/syarukasu/ae2-crafting-optimizer
# synchronized_through_issue=156
# runtime_status: NOT_REQUIRED, VERIFIED, PENDING
issue	kind	loaders	required	automated_evidence	runtime_status	runtime_evidence	summary
1	COMPATIBILITY	NEOFORGE_1_21_1	STATIC	.github/workflows/build.yml	NOT_REQUIRED	-	NeoForge 1.21.1 port
3	REGRESSION	NEOFORGE_1_21_1	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/engine/CheckedLongMathTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/OverflowPromotingCraftingPlannerTest.java	NOT_REQUIRED	-	Craft count multiplication overflow
5	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/engine/CraftingPlannerBenchmarkTest.java;src/test/java/com/syaru/ae2craftingoptimizer/optimization/BigIntegerPlanDiagnosticsTest.java	NOT_REQUIRED	-	Slow fallback calculation and missing diagnostics
7	FEATURE	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/api/contract/IntegrationContractTest.java;src/test/java/com/syaru/ae2craftingoptimizer/api/contract/CanonicalBigIntegerCodecTest.java	NOT_REQUIRED	-	Shared BigInteger API contract
8	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/integration/ExactStorageMutationJournalTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/craftingtable/ExactMutationReconcilerTest.java;src/test/java/com/syaru/ae2craftingoptimizer/golden/CrashWindowMatrixTest.java	NOT_REQUIRED	-	Exact storage atomicity and recovery
9	FEATURE	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/integration/ExactVectorGridTickBudgetTest.java;src/test/java/com/syaru/ae2craftingoptimizer/engine/vector/VectorBatchPlannerTest.java	NOT_REQUIRED	-	Incremental exact vector execution
10	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/api/big/BigCraftingHostRegistryLifecycleTest.java;src/test/java/com/syaru/ae2craftingoptimizer/api/contract/RevisionAndSnapshotTest.java	NOT_REQUIRED	-	Host lifecycle and snapshot race
11	REGRESSION	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/integration/CriticalMixinContractSourceTest.java;src/test/java/com/syaru/ae2craftingoptimizer/mixin/MixinConfigurationContractTest.java	NOT_REQUIRED	-	Fail-closed accounting mixins
12	FEATURE	BOTH	UNIT	src/test/java/com/syaru/ae2craftingoptimizer/golden/CanonicalFixtureGoldenTest.java;src/test/java/com/syaru/ae2craftingoptimizer/golden/CanonicalFixtureFuzzTest.java	NOT_REQUIRED	-	Golden regression test foundation
13	RELEASE	BOTH	STATIC	.github/workflows/build.yml	NOT_REQUIRED	-	Loader branch and artifact separation
